recommendationid,lookupkey,drugname,guidelinename,guidelineurl,implications,drugrecommendation,classification,phenotypes,activityscore,population,comments
4168759,{'CYP2D6': '2.25'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Normal hydromorphone formation'},Use hydrocodone label recommended age- or weight-specific dosing.,Strong,{'CYP2D6': 'Normal Metabolizer'},{'CYP2D6': '2.25'},general,n/a
4168760,{'CYP2D6': '0.0'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,"{'CYP2D6': 'Decreased metabolism of hydrocodone to active metabolite, hydromorphone, but there is insufficient evidence to determine if these effects on pharmacokinetics translate into decreased analgesia or side effects.'}","Use hydrocodone label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine and non-tramadol opioid.",Optional,{'CYP2D6': 'Poor Metabolizer'},{'CYP2D6': '0.0'},general,n/a
4168761,{'CYP2D6': '2.5'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '2.5'},general,n/a
4168762,{'CYP2D6': '3.0'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '3.0'},general,n/a
4168763,{'CYP2D6': '2.75'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '2.75'},general,n/a
4168764,{'CYP2D6': '4.0'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '4.0'},general,n/a
4168765,{'CYP2D6': '≥3.0'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '≥3.0'},general,n/a
4168766,{'CYP2D6': '≥3.25'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '≥3.25'},general,n/a
4168767,{'CYP2D6': '≥3.5'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '≥3.5'},general,n/a
4168768,{'CYP2D6': '≥4.0'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '≥4.0'},general,n/a
4168769,{'CYP2D6': '≥3.75'},hydrocodone,"CYP2D6, OPRM1, COMT, and Opioids",https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/,{'CYP2D6': 'Minimal evidence for pharmacokinetic or clinical effect.'},No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.,No Recommendation,{'CYP2D6': 'Ultrarapid Metabolizer'},{'CYP2D6': '≥3.75'},general,n/a
4168772,"{'CYP2D6': '0.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Poor Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '0.0', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168773,"{'CYP2D6': '0.25', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.,Optional,"{'CYP2D6': 'Intermediate Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '0.25', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168774,"{'CYP2D6': '0.5', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.,Optional,"{'CYP2D6': 'Intermediate Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '0.5', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168775,"{'CYP2D6': '0.75', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.,Optional,"{'CYP2D6': 'Intermediate Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '0.75', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168776,"{'CYP2D6': '1.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.,Optional,"{'CYP2D6': 'Intermediate Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '1.0', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168777,"{'CYP2D6': '1.25', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Normal metabolism of TCAs', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Initiate therapy with recommended starting dose.,Optional,"{'CYP2D6': 'Normal Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '1.25', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
4169154,{'G6PD': 'Deficient'},phenazopyridine,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Low-to-no risk of acute hemolytic anemia'},No reason to avoid based on G6PD status at standard doses,Optional,{'G6PD': 'Deficient'},{},general,"Closer monitoring may be indicated higher-than-normal dosages, and in the setting of infection or other oxidative stress including concomitant use of multiple medium and low-to-no risk drugs."
4168778,"{'CYP2D6': '1.5', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Normal metabolism of TCAs', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Initiate therapy with recommended starting dose.,Optional,"{'CYP2D6': 'Normal Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '1.5', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
4168779,"{'CYP2D6': '1.75', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Normal metabolism of TCAs', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Initiate therapy with recommended starting dose.,Optional,"{'CYP2D6': 'Normal Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '1.75', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
4168780,"{'CYP2D6': '2.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Normal metabolism of TCAs', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Initiate therapy with recommended starting dose.,Optional,"{'CYP2D6': 'Normal Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '2.0', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
4168781,"{'CYP2D6': '2.25', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Normal metabolism of TCAs', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",Initiate therapy with recommended starting dose.,Optional,"{'CYP2D6': 'Normal Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '2.25', 'CYP2C19': 'n/a'}",general,"Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose."
4168782,"{'CYP2D6': '2.5', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '2.5', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168783,"{'CYP2D6': '3.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '3.0', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168784,"{'CYP2D6': '2.75', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '2.75', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168785,"{'CYP2D6': '4.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '4.0', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168786,"{'CYP2D6': '≥3.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '≥3.0', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4169334,"{'CYP2B6': 'Indeterminate', 'CYP2C19': 'Ultrarapid Metabolizer'}",sertraline,"CYP2D6, CYP2C19, CYP2B6, SLC6A4, HTR2A and Serotonin Reuptake Inhibitor Antidepressants",https://cpicpgx.org/guidelines/cpic-guideline-for-ssri-and-snri-antidepressants/,"{'CYP2B6': 'n/a', 'CYP2C19': 'Small increase in metabolism of sertraline to less active compounds when compared to CYP2C19 normal metabolizers.'}",Initiate therapy with recommended starting dose.,Strong,"{'CYP2B6': 'Indeterminate', 'CYP2C19': 'Ultrarapid Metabolizer'}","{'CYP2B6': 'n/a', 'CYP2C19': 'n/a'}",general,n/a
4168787,"{'CYP2D6': '≥3.25', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '≥3.25', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168788,"{'CYP2D6': '≥3.5', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '≥3.5', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168789,"{'CYP2D6': '≥4.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '≥4.0', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168790,"{'CYP2D6': '≥3.75', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '≥3.75', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168791,"{'CYP2D6': '≥5.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '≥5.0', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168792,"{'CYP2D6': '≥6.0', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}","Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.",Optional,"{'CYP2D6': 'Ultrarapid Metabolizer', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': '≥6.0', 'CYP2C19': 'n/a'}",general,"Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended."
4168793,"{'CYP2D6': 'n/a', 'CYP2C19': 'Intermediate Metabolizer'}",imipramine,"CYP2D6, CYP2C19 and Tricyclic Antidepressants",https://cpicpgx.org/guidelines/guideline-for-tricyclic-antidepressants-and-cyp2d6-and-cyp2c19/,"{'CYP2D6': 'n/a', 'CYP2C19': 'Reduced metabolism of tertiary amines compared to normal metabolizers'}",No recommendation,Optional,"{'CYP2D6': 'Indeterminate', 'CYP2C19': 'Intermediate Metabolizer'}","{'CYP2D6': 'n/a', 'CYP2C19': 'n/a'}",general,n/a
